rule_id,risk_code,level1_대분류,level2_중분류,level3_소분류,risk_level_위험도,rule_name_룰명,rule_type_유형,pattern_패턴,keywords_키워드,regex_정규식,explanation_설명,suggestion_제안,is_active_활성,ruleset_version_룰셋버전,source_출처
15,RISK_APPEARANCE_IDEAL,외모조장,이상화,"미화 표현",medium,"미화 표현",keyword,"여신, 조각, 완벽한 몸매","여신, 조각, 완벽한 몸매",,"이상화·미화 표현은 과장으로 제한될 수 있습니다.","과도한 미화 표현을 완화하세요.",Y,v1.0.0,DB
24,RISK_INDUCEMENT_BUNDLE,유인,묶음,끼워팔기,low,끼워팔기,keyword,"패키지, 세트","패키지, 세트",,"패키지·세트는 구성·가격이 명확해야 합니다.","구성 항목과 가격을 명시하세요.",Y,v1.0.0,DB
23,RISK_INDUCEMENT_CONDITION,유인,조건,"조건부 혜택",medium,"조건부 혜택",keyword,"선착순, 한정, 당첨자, 오늘만, 후기 조건","선착순, 한정, 당첨자, 오늘만, 후기 조건",,"조건부 혜택은 기간·내용이 불명확하면 제한될 수 있습니다.","이벤트 기간(시작/종료)과 적용 대상(시술/진료)을 명시하세요.",Y,v1.0.0,DB
22,RISK_INDUCEMENT_DISCOUNT,유인,할인,"금전 혜택",medium,"금전 혜택",keyword,"무료, 할인, 반값, 이벤트, 특가, 혜택, 프로모션","무료, 할인, 반값, 이벤트, 특가, 혜택, 프로모션",,"이벤트·할인 표현은 이벤트 기간, 할인율, 적용 대상(시술/진료)을 함께 명시하면 리스크를 줄일 수 있습니다.","이벤트 기간(시작~종료), 할인율, 참여·적용 조건을 광고에 명시하세요.",Y,v1.0.0,DB
28,RISK_QUALIFICATION_TITLE,자격,명칭,"임의 타이틀",medium,"임의 타이틀",keyword,"명의, 박사","명의, 박사",,"임의 타이틀·명칭은 오인을 줄 수 있습니다.","정식 자격·직함만 사용하세요.",Y,v1.0.0,DB
26,RISK_QUALIFICATION_FALSE,자격,허위,"근거 없음",high,"근거 없음",keyword,"전문병원, 인증 병원, 국내 유일, 세계 최초, 공인","전문병원, 인증 병원, 국내 유일, 세계 최초, 공인",,"근거 없는 자격·인증 표시는 제한됩니다.","인증·자격은 실제 취득 여부를 확인하고 근거를 제시하세요.",Y,v1.0.0,DB
27,RISK_QUALIFICATION_MIXED,자격,혼동,"병기 오류",high,"병기 오류",keyword,"전문의, 비전문","전문의, 비전문",,"전문의와 비전문 과목 혼동은 오인을 줄 수 있습니다.","과목·자격을 정확히 구분해 표기하세요.",Y,v1.0.0,DB
9,RISK_DURATION_FIXED,치료과정,"기간 단정","고정 기간",medium,"고정 기간",combo,"일 완성, 일주일이면 끝, 하루면 충분, 한 달 내, 기간 내 완치 | regex: \d+\s*일\s*완성, \d+\s*일\s*완치, \d+\s*일이면\s*끝, \d+\s*주\s*완성","일 완성, 일주일이면 끝, 하루면 충분, 한 달 내, 기간 내 완치","\d+\s*일\s*완성, \d+\s*일\s*완치, \d+\s*일이면\s*끝, \d+\s*주\s*완성","치료 기간을 단정하는 표현은 제한됩니다.","개인차가 있음을 명시하거나 기간 표현을 완화하세요.",Y,v1.0.0,DB
11,RISK_DURATION_SIMPLICITY,치료과정,단순화,"쉬움 강조",low,"쉬움 강조",keyword,"간단하게, 쉽게 해결, 부담 없이","간단하게, 쉽게 해결, 부담 없이",,"치료를 과도하게 단순화하는 표현은 오인을 줄 수 있습니다.","필요 시 ""상담 후 결정"" 등을 함께 안내하세요.",Y,v1.0.0,DB
10,RISK_DURATION_INSTANT,치료과정,즉시성,"즉각 효과",medium,"즉각 효과",keyword,"바로 효과, 즉각 개선, 당일 퇴원","바로 효과, 즉각 개선, 당일 퇴원",,"즉시·당일 효과 단정은 제한될 수 있습니다.","개인차·조건을 함께 안내하세요.",Y,v1.0.0,DB
7,RISK_GUARANTEE_CERTAINTY,효과보장,"100% 의미",확정성,high,확정성,keyword,"반드시, 무조건, 확실하게, 100%, 전부, 완전히, 200%","반드시, 무조건, 확실하게, 100%, 전부, 완전히, 200%",,"100%·확정적 표현은 제한될 수 있습니다.",,Y,v1.0.0,DB
5,RISK_GUARANTEE_RESULT,효과보장,"결과 단정","완치/해결 보장",high,"완치/해결 보장",keyword,"완치, 해결, 치료 완료, 개선 완료, 없애드립니다, 사라집니다","완치, 해결, 치료 완료, 개선 완료, 없애드립니다, 사라집니다",,"결과를 단정하는 효과 보장 표현은 의료광고에서 금지됩니다.","결과 단정을 피하고 ""도움이 될 수 있습니다"" 등으로 완화하세요.",Y,v1.0.0,DB
6,RISK_GUARANTEE_ZERO_RISK,효과보장,"무위험 주장","부작용 없음",high,"부작용 없음",keyword,"부작용 없음, 부작용 없이, 부작용 없다, 부작용 없어요, 부작용 x, 통증 없음, 출혈 없음, 재발 없음, 위험 없음, 걱정 없이","부작용 없음, 부작용 없이, 부작용 없다, 부작용 없어요, 부작용 x, 통증 없음, 출혈 없음, 재발 없음, 위험 없음, 걱정 없이",,"부작용·위험 없음을 단정하는 표현은 제한됩니다.","""부작용이 적은 편"" 또는 ""의사와 상담 후"" 등을 사용하세요.",Y,v1.0.0,DB
8,RISK_GUARANTEE_RESPONSIBILITY,효과보장,"책임 보장",책임·약속,high,책임·약속,keyword,"책임진료, 책임집니다, 보장합니다, 약속드립니다, 끝까지 관리","책임진료, 책임집니다, 보장합니다, 약속드립니다, 끝까지 관리",,"책임·보장·약속 표현은 제한될 수 있습니다.","법적 책임 범위를 넘지 않도록 표현을 완화하세요.",Y,v1.0.0,DB
